"Applies to Edge Types","","","","","","","","","","","","","","","""Valid"" - Must put one of these values
""Recommened"" - Recommend this value but any value is accepted
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","aux_lanes","Describes the number of temporary vehicle lanes like turn lanes. Cannot be negative.","Integer","NA","","","","","","So right and left turn lanes would be aggregated?",""
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","shoulder_width","Width of the paved shoulder that can be used by pedestrians or cyclists. Measured in feet with one decimal point of precision. Cannot be negative.","Float","NA","","1.5","","","","Do we need to tag side of edge/road?",""
"","","","","","","","","","","","","markings","Markings that deleniate or mark the area of the road/edge for bikes, peds or MVs

Any of the descriptors can be prefixed with a side of the edge, e.g. ""left:"" or ""right:""","Array<Text>","Recommended","green_paint
sharrows
edge_lines

centerline
ped_lane
bike_lane","left:ped_lane, edge_lines, centerline","","","","","To Add"
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","roadway_centerline","Indicates if there is a painted road centerline. Might be a useful attribute to track for finding low-stress streets.","Boolean","Valid","yes
no","","","","","Montgomery County uses center line presence in their LTS methodology (https://montgomeryplanning.org/wp-content/uploads/2017/11/Appendix-D.pdf)

Change into list of roadway markings in general?","Remove in place of ""markings"""
"forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","optional
T2:recommended","forbidden","forbidden","forbidden","mup_modal_delineation","Designates whether bikes and pedestrians have designated spaces on a multi-use/shared-use path, or whether all travelers use the same space.","Boolean","Valid","yes
no","no","","","","Need help with attribute name

What if we collapsed markings into an array of enums? So one could be sharrows, modal designation, centerlines, etc.
","Remove in place of ""markings"""
"optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","prohibited_uses","Specifies which types of users are legally prohibited from using the facility, based on the laws, policy, or signage on a facility (ex. “E-bikes prohibited on this trail”). Can provide one or multiple in list form.","Array<Enum>","Valid","walk
bike
ebike
scooter
NEV
motor_vehicle","","","","","Changed to prohibited uses. These should be really general. We can have another field to describe more specific restrictions like Class 1 ebikes only. Time based uses could be implemented in an extension file in a future version to account for regularly scheduled closed streets.
",""
"optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","allowed_uses","Specifies exceptions to the usually prohibited users. Intended for designating whether bikes are allowed to use sidewalks, footpaths, and crossings for routing purposes.","Array<Enum>","Valid","walk
bike
ebike
scooter
NEV
motor_vehicle","Bicycles normally prohibited from using the sidewalk but the sidewalk is a critical edge for connectivity.","","","","These default access restrictions per edge type need to be explicitly documented somewhere.

Also maybe clarify: it sounds like the logic is everything is permitted except prohibited_uses, but then subtract (allow) allowed_uses?
",""
"","","","","","","","","","","","","restricted_access","Any restrictions on general access to this edge/path for any mode. This field should be set recognizing the intended audience of the dataset is most commonly the general public--so even if most users, e.g. club members, would be expected to have the required permits/passes/codes, marking the infrastructure appropriately with this field communicates to the general public this is not a publicly-accessible path.","Array<Text>","Recommended","private
access_code_required
membership_required
permit_required","","","","","","To add"
"forbidden","forbidden","forbidden","optional
T3:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","vehicle_traffic_control ","Describes how motor vehicle traffic that passes through the crossing space is controlled.  ","Enum","Valid","uncontrolled
standard signal
flashing red signal
flashing yellow signal
yield sign
stop sign","","","","","",""
"forbidden","forbidden","forbidden","optional
T3:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","cross_vehicle_traffic_control ","Describes how motor vehicle traffic coming from cross streets is controlled. This traffic may or may not turn into the crossing space. For intersections with more than one cross street, list all of the control types present. ","Array<Enum>","Valid","uncontrolled
standard signal
flashing red signal
flashing yellow signal
yield sign
stop sign","","","","","",""
"forbidden","forbidden","forbidden","optional
T3:required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","ped_traffic_control ","Describes the type of signal that controls the timing of pedestrian use of the crossing.  ","Enum","Valid","uncontrolled
standard signal
flashing red signal
flashing yellow signal
pedestrian hybrid beacon / HAWK
rectangular rapid flashing beacon
yield sign
stop sign","","","","","Avoid locale-relative terms like ""standard"" (or, in this case, reference the exact standard (like ""Vienna Convention, Article 23"") to compare against)",""
